title,price,location,surface,rooms,baths,link,location_clean,city,district,price_capped,prix_m2,is_new,is_luxury,age_estime,type_bien,price_category,city_popularity,is_premium_city
"Appartement à vendre, superficie 80 m², 12 m² de garage, Wafaq Tamaris",1200000,"Appartements dans Temara, Wifak",92,2,2,https://www.avito.ma/fr/wifak/appartements/Appartement_%C3%A0_vendre__superficie_80_m%C2%B2__12_m%C2%B2_de_garage__Wafaq_Tamaris_57838676.htm,"Temara, Wifak",temara,wifak,1200000,13043.478260869566,False,False,15,appartement,luxury,8,False
CMN-MA-2404 - Appartement à vendre à Les princesses,2400000,"Appartements dans Casablanca, Les Princesses",121,3,2,https://www.avito.ma/fr/les_princesses/appartements/CMN_MA_2404___Appartement_%C3%A0_vendre_%C3%A0_Les_princesses_57234386.htm,"Casablanca, Les Princesses",casablanca,les princesses,2400000,19834.710743801654,False,False,15,appartement,luxury,136,True
"Appartement à vendre devant la nouvelle gare routière, sans intermédiaire",495000,"Appartements dans Tanger, Autre secteur",60,2,1,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_devant_la_nouvelle_gare_routi%C3%A8re__sans_interm%C3%A9diaire_57308329.htm,"Tanger, Autre secteur",tangier,autre secteur,495000,8250.0,False,False,15,appartement,high,38,False
Appartement à vendre 84/92/94m² à Salé Al Jadida,1092000,"Appartements dans Salé, Sala El Jadida",84,3,2,https://www.avito.ma/fr/sala_el_jadida/appartements/Appartement_%C3%A0_vendre_84_92_94m%C2%B2_%C3%A0_Sal%C3%A9_Al_Jadida_57535043.htm,"Salé, Sala El Jadida",salé,sala el jadida,1092000,13000.0,False,False,15,appartement,luxury,6,False
Appartement titré à vendre à Martil,830000,"Appartements dans Martil, Toute la ville",68,2,1,https://www.avito.ma/fr/martil/appartements/Appartement_titr%C3%A9_%C3%A0_vendre_%C3%A0_Martil_57838669.htm,"Martil, Toute la ville",martil,toute la ville,830000,12205.882352941177,False,False,15,appartement,very_high,5,False
Appartement à vendre 80 m² à Ksar el-Kebir,330000,"Appartements dans Ksar el-Kebir, Toute la ville",80,2,2,https://www.avito.ma/fr/ksar_el_kebir/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_Ksar_el_Kebir_57828372.htm,"Ksar el-Kebir, Toute la ville",ksar el-kebir,toute la ville,330000,4125.0,False,False,15,appartement,high,2,False
"Appartement 60m avec balcon, 2ème étage",550000,"Appartements dans Marrakech, Autre secteur",60,2,1,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_60m_avec_balcon__2%C3%A8me_%C3%A9tage_57715624.htm,"Marrakech, Autre secteur",marrakech,autre secteur,550000,9166.666666666666,False,False,15,appartement,high,58,True
Appartement à vendre 114 m² à Casablanca,1350000,"Appartements dans Casablanca, 2 Mars",114,2,2,https://www.avito.ma/fr/2_mars/appartements/Appartement_%C3%A0_vendre_114_m%C2%B2_%C3%A0_Casablanca_57278196.htm,"Casablanca, 2 Mars",casablanca,2 mars,1350000,11842.105263157895,False,False,15,appartement,luxury,136,True
CMN-HA-1920 - Appartement à vendre à Oulfa,1092000,"Appartements dans Casablanca, Oulfa",78,2,2,https://www.avito.ma/fr/oulfa/appartements/CMN_HA_1920___Appartement_%C3%A0_vendre_%C3%A0_Oulfa_57324742.htm,"Casablanca, Oulfa",casablanca,oulfa,1092000,14000.0,False,False,15,appartement,luxury,136,True
Superbe appartement de 90 m² entièrement rénové,1260000,"Appartements dans Casablanca, Nassim",90,2,1,https://www.avito.ma/fr/nassim/appartements/Superbe_appartement_de_90_m%C2%B2_enti%C3%A8rement_r%C3%A9nov%C3%A9_57645554.htm,"Casablanca, Nassim",casablanca,nassim,1260000,14000.0,False,True,5,appartement,luxury,136,True
appartement vue piscine 2 chambres à CASABAY,1250000,"Appartements dans Sidi Rahal, Toute la ville",87,2,2,https://www.avito.ma/fr/sidi_rahal/appartements/appartement_vue_piscine_2_chambres_%C3%A0_CASABAY_57759302.htm,"Sidi Rahal, Toute la ville",sidi rahal,toute la ville,1250000,14367.816091954022,False,False,15,appartement,luxury,2,False
Magnifique Studio de 50 m² au cœur de Guéliz,1350000,"Appartements dans Marrakech, Guéliz",50,1,1,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Magnifique_Studio_de_50_m%C2%B2_au_c_ur_de_Gu%C3%A9liz_57634615.htm,"Marrakech, Guéliz",marrakech,guéliz,1350000,27000.0,False,True,5,studio,luxury,58,True
Appartement 3 chambres à 2min de Casanearshore,780000,"Appartements dans Casablanca, Sidi Maarouf",70,3,1,https://www.avito.ma/fr/sidi_maarouf/appartements/Appartement_3_chambres_%C3%A0_2min_de_Casanearshore_57828086.htm,"Casablanca, Sidi Maarouf",casablanca,sidi maarouf,780000,11142.857142857143,False,False,15,appartement,very_high,136,True
Appartement ensoleillé dans un endroit magnifique près du golf,600000,"Appartements dans Benslimane, Autre secteur",98,2,1,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_ensoleill%C3%A9_dans_un_endroit_magnifique_pr%C3%A8s_du_golf_57732570.htm,"Benslimane, Autre secteur",benslimane,autre secteur,600000,6122.448979591837,False,True,5,appartement,high,3,False
"Appartement 140 m² à Sidi Bouzid, bien rénové",480000,"Appartements dans El Jadida, Autre secteur",140,2,2,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_140_m%C2%B2_%C3%A0_Sidi_Bouzid__bien_r%C3%A9nov%C3%A9_55546850.htm,"El Jadida, Autre secteur",el jadida,autre secteur,480000,3428.5714285714284,False,False,15,appartement,high,5,False
Appartement à vendre 117 m² à Rabat,3200000,"Appartements dans Rabat, Hay Riad",117,3,2,https://www.avito.ma/fr/hay_riad/appartements/Appartement_%C3%A0_vendre_117_m%C2%B2_%C3%A0_Rabat_57838535.htm,"Rabat, Hay Riad",rabat,hay riad,3200000,27350.42735042735,False,False,15,appartement,luxury,10,True
175015-Vente Appt à Bouskoura Bouskoura de 80 m²,900000,Appartements dans Bouskoura,80,2,2,https://www.avito.ma/fr/bouskoura/appartements/175015_Vente_Appt_%C3%A0_Bouskoura_Bouskoura_de_80_m%C2%B2_57651971.htm,Bouskoura,bouskoura,,900000,11250.0,False,False,15,appartement,very_high,5,False
Appartement à vendre 62 m² à Ksar el-Kebir,350000,"Appartements dans Ksar el-Kebir, Toute la ville",62,2,2,https://www.avito.ma/fr/ksar_el_kebir/appartements/Appartement_%C3%A0_vendre_62_m%C2%B2_%C3%A0_Ksar_el_Kebir_57838539.htm,"Ksar el-Kebir, Toute la ville",ksar el-kebir,toute la ville,350000,5645.1612903225805,False,False,15,appartement,high,2,False
